Data,Mês,Tipo,Categoria,Descrição, Valor,Operação Bancaria,Status
01/08/2024,8,ENTRADA,Renda Fixa,Salario mensal,"R$ 5.000,00",Transferência,Recebido
01/08/2024,8,SAÍDA,Alimentação,Compras no supermercado,"R$ 550,00",Débito Automático,Pendente
03/08/2024,8,SAÍDA,Transporte,Gasolina,"R$ 300,00",Cartão de Crédito,Pago
05/08/2024,8,SAÍDA,Lazer,Cinema,"R$ 120,00",Cartão de Crédito,Pago
07/08/2024,8,SAÍDA,Saúde,Consulta odontológica,"R$ 250,00",Transferência,Pago
10/08/2024,8,SAÍDA,Educação,Material escolar,"R$ 400,00",Débito Automático,Pendente
12/08/2024,8,SAÍDA,Vestuário,Compra de roupas de inverno,"R$ 600,00",Cartão de Crédito,Pendente
15/08/2024,8,ENTRADA,Investimentos,Dividendos de acoes,"R$ 800,00",Transferência,Recebido
15/08/2024,8,SAÍDA,Serviços,Limpeza do apartamento,"R$ 150,00",Transferência,Pago
18/08/2024,8,SAÍDA,Eletrônicos,Compra de novo celular,"R$ 1.200,00",Cartão de Crédito,Pendente
20/08/2024,8,SAÍDA,Utilidades Domésticas,Reparos domesticos,"R$ 450,00",Débito Automático,Pago
22/08/2024,8,SAÍDA,Presentes,Presente de aniversário,"R$ 180,00",Transferência,Pendente
24/08/2024,8,SAÍDA,Beleza,Corte de cabelo e barba,"R$ 80,00",Débito Automático,Pago
28/08/2024,8,SAÍDA,Pet Care,Racao e petiscos para o cachorro,"R$ 200,00",Débito Automático,Pago
30/08/2024,8,SAÍDA,Viagem,Reserva de pousada,"R$ 750,00",Transferência,Pendente
31/08/2024,8,SAÍDA,Gastronomia,Jantar em restaurante francês,"R$ 350,00",Cartão de Crédito,Pago
01/09/2024,9,ENTRADA,Renda Fixa,Salario mensal,"R$ 5.000,00",Transferência,Recebido
02/09/2024,9,SAÍDA,Alimentação, Compras no supermercado,"R$ 450,00",Débito Automático,Pendente
05/09/2024,9,SAÍDA,Transporte, Gasolina,"R$ 300,00",Débito Automático,Pago
08/09/2024,9,SAÍDA,Lazer, Cinema e jantar,"R$ 200,00",Transferência,Pago
11/09/2024,9,SAÍDA,Saúde, Plano de saúde,"R$ 600,00",Débito Automático,Pendente
14/09/2024,9,SAÍDA,Educação, Material escolar,"R$ 350,00",Transferência,Pago
17/09/2024,9,SAÍDA,Vestuário, Compra de roupas,"R$ 500,00",Cartão de Crédito,Pendente
20/09/2024,9,ENTRADA,Freelance,Pagamento por projeto freelancer,"R$ 1.200,00",Transferência,Recebido
20/09/2024,9,SAÍDA,Serviços, Manutencao do veículo,"R$ 800,00",Transferência,Pago
23/09/2024,9,SAÍDA,Eletrônicos, Compra de novo smartphone,"R$ 1.500,00",Cartão de Crédito,Pendente
26/09/2024,9,SAÍDA,Utilidades Dom., Conta de energia elétrica,"R$ 250,00",Débito Automático,Pago
29/09/2024,9,SAÍDA,Presentes, Aniversario da mae,"R$ 400,00",Cartão de Crédito,Pendente
01/10/2024,10,ENTRADA,Renda Fixa,Salario mensal,"R$ 5.000,00",Transferência,Recebido
01/10/2024,10,SAÍDA,Alimentação,Compras no supermercado,"R$ 600,00",Débito Automático,Pendente
03/10/2024,10,SAÍDA,Transporte,Recarga de cartao de transporte,"R$ 200,00",Cartão de Crédito,Pago
05/10/2024,10,SAÍDA,Lazer,Ingressos para teatro,"R$ 180,00",Transferência,Pago
08/10/2024,10,SAÍDA,Saúde,Remedios de farmacia,"R$ 120,00",Débito Automático,Pendente
10/10/2024,10,SAÍDA,Educação,Cursos online,"R$ 350,00",Cartão de Crédito,Pendente
13/10/2024,10,SAÍDA,Vestuário,Roupas de primavera,"R$ 400,00",Transferência,Pago
15/10/2024,10,SAÍDA,Serviços,Manutencao da casa,"R$ 450,00",Débito Automático,Pago
18/10/2024,10,ENTRADA,Venda de ativos,Venda de equipamentos eletrônicos,"R$ 1.500,00",Transferência,Recebido
18/10/2024,10,SAÍDA,Eletrônicos,Manutenção do computador,"R$ 300,00",Cartão de Crédito,Pendente
20/10/2024,10,SAÍDA,Utilidades Domésticas,Troca de moveis da cozinha,"R$ 800,00",Transferência,Pago
22/10/2024,10,SAÍDA,Presentes,Presentes para casamento,"R$ 250,00",Cartão de Crédito,Pendente
24/10/2024,10,SAÍDA,Pet Care,Veterinario para o pet,"R$ 150,00",Débito Automático,Pago
26/10/2024,10,SAÍDA,Beleza,Salao de beleza,"R$ 250,00",Transferência,Pendente
30/10/2024,10,SAÍDA,Gastronomia,Jantar em restaurante italiano,"R$ 220,00",Transferência,Pendente
31/10/2024,10,SAÍDA,Viagem,Reserva de hotel para fim de semana,"R$ 500,00",Cartão de Crédito,Pendente
